nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,propertytype
Judith A. T. D.,9.7,20-Sep-21,"I had high expectations with Bobobox, and let me tell you this: Bobobox DID meet my expectations! I am very pleased with my stay. Never have I ever thought that sleeping in a private, secluded box would make me feel that refreshed and relaxed. I was grateful that I booked the double sky pod all for myself though, it was spacious for someone with a small figure like I am. I love how cold the pod was and how comfortable the bed was. Since I booked the sky one, it kind of made me feel a little bit adventurous, which I enjoyed. The bathroom was clean and thankfully not that far away from my pod. The warm water just hit different when I took a bath in the cold morning of Bandung. The communal space was okay, not that crowded and packed with people-again, which I enjoyed. So, the conclusion is: I am definitely going back. Sooner than I think I will, I guess. Thank you, Bobobox <3.",Bobobox Dago,CAPSULE HOTEL
denis s.,8.5,09-Sep-21,"This place is so good, clean, and cute. I am highly recommended to my friends for stay in Bobobox.",Bobobox Dago,CAPSULE HOTEL
Lutfi H.,8.5,21-Feb-22,"Great place to stay, very calm and quite.",Flores Gallery Hotel,HOTELS
Sabrina A.,9.4,28-Dec-21,"The only thing lacking is that the bed was not comfy and so hard. But the rest, AMAZING.",Flores Gallery Hotel,HOTELS
Siti A. F.,9.7,14-Nov-21,,Flores Gallery Hotel,HOTELS
Sekar,9.1,13-Sep-21,"It 's a quite decent 2 star hotel. The building is well managed and clean. However they need to improve on 2 things. First, their AC, during my stay, my room AC didn't work well and it felt hot inside the room (+ they don't have another ventilation except their see-through window). Second, the WIFI, signal was there but still can't access the internet. Overall it was a nice stay with Flores Gallery Hotel. Definitely will be back with hope of improvement.",Flores Gallery Hotel,HOTELS
Lia N.,9.4,05-Jan-21,,Flores Gallery Hotel,HOTELS
Dewy I.,8.5,05-Jan-21,,Flores Gallery Hotel,HOTELS
Intan G.,6,15-Dec-20,The atmosphere was bad because there is lack of cleanliness and air freshener so I canﾕt enjoy it.,Flores Gallery Hotel,HOTELS
Aditya R.,9.1,02-Aug-20,"Super clean and comfy room. The bathroom also clean and pretty large. However, mineral water or coffee is not available",Flores Gallery Hotel,HOTELS
Mpokgaga E.,9.4,24-Feb-20,"Staff was so polite and helpful. Better stay at 3rd floor than 2nd floor, because the wifi was stronger there.",Flores Gallery Hotel,HOTELS
R Arief M.,9.4,11-Feb-20,,Flores Gallery Hotel,HOTELS
,,,,Pension Homestay,HOMESTAYS
Mochamad F. Y.,6,01-Mar-22,"Breakfast not normally, very limited.",M Premiere Hotel Dago,HOTELS
Reka N. Y.,8.5,14-Jan-22,"Staying with parents with one bed room, one queen bed and one single bed. Mom was impressed with the room. Great location to stay for a while. Culinary and some park was walking distance!",M Premiere Hotel Dago,HOTELS
VIVI,9.4,04-Jan-22,Checkin late in the afternoon. The room was ready but quit small for a family Clean The Hot Shower took around 5 minutes Kinda waste water while waiting for the hot water to come out In a alley side of the main road so the ambience quite,M Premiere Hotel Dago,HOTELS
Henry A. B.,8.7,21-Dec-21,Room very clean & comfy but internet very bad.,M Premiere Hotel Dago,HOTELS
herry,8.5,20-Dec-21,"The location is strategic, since it is small hotel so there is no facility like swimming pool, etc. The room is clean except for the shower above our head looks like there is a fungus, I suggest to clean the fungus regularly. Lift location is so guest friendly, from parking lot we can go to our room floor so we don't have to carry the luggage to the lobby. We have to choose breakfast when we check in, so we don't have many option and the portion is already set by the hotel. The choice is""nasi kuning""which maybe not everyone like""nasi kuning"". Overall the hotel is OK but I think the price better is reduce since there is no facility and guest is only use the room for sleep.",M Premiere Hotel Dago,HOTELS
Muhammad I.,9.1,19-Dec-21,,M Premiere Hotel Dago,HOTELS
Hissa N. I.,10,24-Oct-21,This my 2nd time staying here and always satisfied with their service! Good job!,M Premiere Hotel Dago,HOTELS
Wini N.,6,07-Oct-21,"Wifi connection is poor, no staff can be asked for help, they said there ' s only one person who standby at front office, padahal weekend. Already ordered breakfast night before and confirmed that they can help us to bring the breakfast to our room, but we have to get it ourselves in the restaurant. The pillows are hard, which uncomfortable.",M Premiere Hotel Dago,HOTELS
Risa P.,8.5,07-Oct-21,,M Premiere Hotel Dago,HOTELS
Marcha N. K.,9.4,03-Jun-21,"Room is not too big, but Great hospitality! Staff were really responsive if we need something. Location is perfect. Great value for money",M Premiere Hotel Dago,HOTELS
Maya S.,5.5,23-Dec-21,"The room dirty, the pillow and bed dirty too, AC not cool there is need a maintenance.",OYO 1452 Hotel Utari,HOTELS
Sesilia K.,5.4,04-Oct-21,"Very strategic location, but it's an old, smelly, and creepy hotel and the room as well, dirty bed sheets and pillow cases (not sure if it's cleaned or disinfected), dusty window sills, poor water stream from the shower, limited-time hot water, no exhaust in the bathroom, I had to ask for mineral water (not provided in the room), room facilities such as decorative lighting not working, only 1 available power outlet for charging, no toiletries, smelly bathroom, not well-trained receptionist (most of them are middle-aged men and obviously not a hospitality person). I finally had to upgrade the room to a bigger one in the GF (per night is IDR 250k) as 2nd floor is too creepy. My description above is for the bigger room, so can you imagine the one that I originally orderedﾉ cheaper and creepier. The room irl is not as shown in the profile. Will never stay here no more unless they renovate the hotel.",OYO 1452 Hotel Utari,HOTELS
Uci S.,5.1,28-Aug-21,"The hotel is in a dirty condition, cigarette ash everywhere. The bathroom looks like it hasn't been cleaned in a long time. And smelly room.",OYO 1452 Hotel Utari,HOTELS
George A. K.,5.1,08-Jun-21,"The worst hotel in the world. Dirty room, noisy air conditioner, bad service. Superbad experience.",OYO 1452 Hotel Utari,HOTELS
Andri A.,9.1,10-Oct-20,,OYO 1452 Hotel Utari,HOTELS
Ade S.,8.9,23-Sep-20,"But no toiletries, broken AC :(",OYO 1452 Hotel Utari,HOTELS
chandra a. y.,8.7,06-Jul-20,"To be honest the location is perfect. maybe it is an old hotel so they keep it that way, I find the room is clean but there is dust in the corner of windows, cupboard, desk, bedhead. Just small dust not really bother me. it is all from me.",OYO 1452 Hotel Utari,HOTELS
agoes s.,6.7,25-Jan-20,"The room is rather smelly, perhaps it is a bit humid. The closet is broken, the water does not automatically stop after I flush the toilet. The utilities in the bathroom or bedroom are old, some are not working. But the room is clean, and the receptionist is friendly. The location of the hotel is strategic (in Dago).",OYO 1452 Hotel Utari,HOTELS
Riandy R. N.,9.7,19-Jan-20,Great place to stay in Bandung,OYO 1452 Hotel Utari,HOTELS
FAILA S.,9.7,30-Dec-19,,OYO 1452 Hotel Utari,HOTELS
Yasmin K.,5.8,05-Mar-22,"All the stafs are really friendly and helpful. The things that dispointed us are the room is smells of smoke. The lamps switch is broke, the air conditioning setting also broke, the wadrobe door can't close. And the important things, when I go outside and want to come back to our rooms, the door couldn't open. And finally after all this complaints they change our rooms. Not big as before room, at least its not smell bad. But for the door it happened again, after we go outside we can't open it again until we call the receptionist. I hope they do good maintenance for their rooms. Because the location is good, food is good, the rooms is large, the view are great, just need little attention in maintenance. Thank you.",Amaroossa Bandung,HOTELS
Dimda Y.,8.5,14-Feb-22,,Amaroossa Bandung,HOTELS
nadine w. a.,9.4,06-Feb-22,"The room was spacious enough. Cleanliness was OK, staffs are very helpful and the hotel managed the health protocols very well.",Amaroossa Bandung,HOTELS
Vira V.,9.4,05-Jan-22,,Amaroossa Bandung,HOTELS
Johannes A. S.,8.5,25-Dec-21,,Amaroossa Bandung,HOTELS
Jeremy N.,5.1,25-Dec-21,"The staffs are nice but the service is bad. The room is not clean, it ' s dusty and the furnitures are badly maintained. The housekeeping only replaced the the bad sheets, they didn't even clean the room nor bathroom. The AC was not working properly, we had hard time sleeping. Asked them to fix the AC but they did little to nothing. Breakfast was so so. Little parking space. Covid protocol was terrible, most of the guests did not wear any mask in lobby and restaurant. Sad sad stay. We actually booked for Two nights, but only stayed for one, got the second night refunded and moved to a better hotel. It ' s very unfortunate because this hotel used to be very Good. Used to stay here few years ago and it was very pleasing, but not this time. Sad to see what happened to this hotel. In 2016/17 the room here used to cost around $ 70-$100/night now it only costs $ 35, half the price. Judging by that I can clearly say it ' s because of the degradation of quality. Maybe because of pandemic? We'll never know. If you want a pleasant stay for/under $ 50, I suggest look for newer modern hotels to stay like Moxy hotel, hotel 101 or any other budget hotel. They cost almost the same and offer better room and services. Hope this help. Cheers!",Amaroossa Bandung,HOTELS
Citra H.,9.6,14-Dec-21,"Everything was good, however breakfast menu selection could be better.",Amaroossa Bandung,HOTELS
silvia a.,6.3,14-Dec-21,"This hotel good location. But the rooms smell smoking, and parking area is too small.",Amaroossa Bandung,HOTELS
SUPRIYO S. G.,6,13-Dec-21,"Its a old run down property, with many areas broken within the room. The photos of the property & its facilities are not in sync to the reality.",Amaroossa Bandung,HOTELS
Rida S. A.,9.1,29-Nov-21,,Amaroossa Bandung,HOTELS
Nadia A. R.,9.1,20-Mar-22,"The staffs are very friendly and helpful. The price definitely worth the comfort and the facilities provided. Kind of wish the AC can be a bit colder though. All in all, it was a very pleasant stay.",Four Points by Sheraton Bandung,HOTELS
Kristijadi S.,9.4,06-Mar-22,"Clean, cozy, good service, strategic location.",Four Points by Sheraton Bandung,HOTELS
Nuryadin H.,9,01-Mar-22,,Four Points by Sheraton Bandung,HOTELS
Heny F.,9.7,28-Feb-22,Variasi makanan saat breakfast kurang. Overall we enjoy the hotel. Will be back for sure.,Four Points by Sheraton Bandung,HOTELS
Dicky S.,9.7,28-Feb-22,,Four Points by Sheraton Bandung,HOTELS
christiani w.,8.5,07-Feb-22,Nice and clean room. Excellent service.,Four Points by Sheraton Bandung,HOTELS
Aulia R.,8.5,24-Jan-22,,Four Points by Sheraton Bandung,HOTELS
Tari F. S.,8.5,09-Jan-22,,Four Points by Sheraton Bandung,HOTELS
Ratna N. R.,8.5,09-Jan-22,,Four Points by Sheraton Bandung,HOTELS
Nuri A.,9.1,01-Jan-22,,Four Points by Sheraton Bandung,HOTELS
M Husni T.,8.3,24-Dec-19,"For location it was strategic enough, even little bit far from convenient store. staff in hotel was very nice, but for the room condition was not so satisfying",De'Qur Hotel Bandung,HOTELS
Krispio N.,6,31-Oct-19,the bathroom door could not closed... small room was not good...hope just once I am there,De'Qur Hotel Bandung,HOTELS
Johannes U.,6.5,19-Sep-19,Mosquitoes! I think that one word is more than enough.,De'Qur Hotel Bandung,HOTELS
Waluyo P. S.,6,06-Jul-19,"Old hotel, no good maintenance and I am sorry to say but this is for the improvement to their management. ______",De'Qur Hotel Bandung,HOTELS
Listya U. K.,6.4,21-Apr-19,"Sorry to say despite of the strategic location, the hotel is not well maintained. After using the bathroom, the door lock was fell off and cannot be opened from outside. We have to move to the other room. Aircon have no remote for selecting temperature, only on and off switch. Iit will be our last alternative for staying in Bandung",De'Qur Hotel Bandung,HOTELS
Tree P. N.,8.5,17-Apr-19,"it's an old hotel. quite mystic atmosphere + : check in is easy no mosquito aircon works well hot water works well the staffs are awesome 12.30 check out the breakfast is plenty what can be better: - sign board to let you know where is dequr. because if your not local, even if your local.. there is a garden in front which make it complicated to reach. - could you provide more shampoo or soap, when I was there, it's only 2 little bar of soap. - bottle water small one is enough,rather you put water in the cup. I'm concerned about hygiene. - some chilly in breakfast because quite plain",De'Qur Hotel Bandung,HOTELS
philip i.,8.5,30-Jan-19,Good for family. Nice environment.,De'Qur Hotel Bandung,HOTELS
Waris S.,6,23-Jan-19,"The location is great but the hotel is dirty, spooky and so unfriendly. When I come to the hotel, at the front door is not clean and a lot of red ants spreading. In the room, the sheet is so...yellowish. the bath room so dusty.",De'Qur Hotel Bandung,HOTELS
paulus b.,9,09-Jan-19,"The great thing about this Hotel is location, it is near the famous landmark and city attraction, that you can reach by foot. The only downside that it is old Hotel and not well maintained you can find dust in some corner. But other then that it's awesome",De'Qur Hotel Bandung,HOTELS
Popy I.,5.2,15-Oct-18,"Dirty room, dirty and smelly bed and pillow, limited hot water for bath (only in the morning), this hotel is too expensive for very poor services",De'Qur Hotel Bandung,HOTELS
Nina D.,9.1,27-Mar-22,"Got cake and fruit as welcoming, friendly staff, awesom whirlpool",The Luxton Bandung,HOTELS
Obie K.,8.5,14-Mar-22,,The Luxton Bandung,HOTELS
Anita,9.7,09-Mar-22,,The Luxton Bandung,HOTELS
Hirdena F.,6.4,15-Jan-22,"We were stay here 3 times before pandemic. Now we back again but got shocked cause its way different from before. They have lowered the quality. It too dark for 4 stars hotel, they put us on 2snd building. No body stand by at the lobby.",The Luxton Bandung,HOTELS
Mochzen G.,9.4,09-Jan-22,,The Luxton Bandung,HOTELS
rika r.,10,04-Jan-22,,The Luxton Bandung,HOTELS
Resty J. A.,5.8,30-Dec-21,Luxton provides very poor parking lot in front of (outdoor) Hotel site because the indoor parking lot is fully occupied. Very unsatisfying because after I parked my car at outdoor parking lot my car is fully with insect (ant) until today I have to clean up my car regularly. Please provide a nicely parking lot and always think about any risks when you provide outdoor parking lot! I give 1 point out of 5 for facilities in Luxton Specifically for the parking lot.,The Luxton Bandung,HOTELS
Widya L. S.,8.5,29-Dec-21,"Specious room, clean, friendly staff, nice breakfast, good location, two thumbs-up!",The Luxton Bandung,HOTELS
ht bintoro,9.7,21-Dec-21,,The Luxton Bandung,HOTELS
RR Kartinah M. P.,8.5,29-Oct-21,"Friendly staffs, clean and spacious room, good food. Will definitely go back for my next trip.",The Luxton Bandung,HOTELS
Fikha F.,10,05-Dec-21,Booked family room for my cousin ' engagement party there. The bed and room were clean and spacious. The staffs were very helpful and friendly. The food? You must try the ice cream! Location is great too.,Selaras Guest House & Restaurant,GUEST HOUSES
M Hadi P.,9.7,13-Apr-21,,Selaras Guest House & Restaurant,GUEST HOUSES
EVRINA A. T.,8.3,01-Dec-20,,Selaras Guest House & Restaurant,GUEST HOUSES
Nikko P.,10,27-Feb-20,,Selaras Guest House & Restaurant,GUEST HOUSES
Fendyk F.,9.4,02-Jan-20,Simple. Central city. Affordable,Selaras Guest House & Restaurant,GUEST HOUSES
Nurul A. O.,8.5,30-Nov-19,The services are always great even though we only got 1 night stay because all the guest house booked for wedding event. Reminds me to my grandma house back then,Selaras Guest House & Restaurant,GUEST HOUSES
Thaha U.,9.4,09-Nov-19,All facilities are good and work as intended to be. All staff is friendly and helpful. Very nice.,Selaras Guest House & Restaurant,GUEST HOUSES
Anita D.,8.5,06-Oct-19,"clean and comfort. The bedroom is big enough for 3 persons to stay. Hotel staff are nice, helpful and friendly.",Selaras Guest House & Restaurant,GUEST HOUSES
riesma,9.7,08-Jul-19,"The room was clean, spacious, and comfy. But brighter lights would be nice, though. Generally, I love the interiors and the ambience of the house, typically beautiful Bandung old soul. The staffs and services were wonderful, thank you. But please have a little improvement on the food taste. Great location at the heart of the city, surrounded with street foods and restaurants.",Selaras Guest House & Restaurant,GUEST HOUSES
Barry A. R.,8.5,05-Jul-19,Nice guest house. Reccomended if you travel with family,Selaras Guest House & Restaurant,GUEST HOUSES
Dede Y.,6,23-Feb-22,The room are really difrerent with the photos. And too dusty even there is a renovation but still in room supposed to be clean.,OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Andrijani S.,8.5,18-Oct-21,,OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Amelya P. K.,4.8,27-Feb-22,"Very disappointed! There is no receptionist looking after, bad service. No toiletries. The bathroom smells and the water doesn't turn on. Sorry horror!",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Imtaz A.,4.5,27-Feb-22,"Very disappointing, the receptionist is not friendly, the air conditioner is noisy, sandals, water heater, coffee tea, no toothpaste, no toothbrush, the air conditioner is not cold, the bathroom is transparent, the architectural arrangement is not neat, the toilet floor and the room are flat so the water runs out all wet the floor of the room, the curtains are broken and dusty, the lighting arrangement is not bright enough. The point is not recommended for those from outside the city.",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Subrata K.,9.1,23-Feb-22,Very good service. Even though the check-in is at dawn. But the team is still friendly and alert. Even cooler after checking out 1 hour from the hotel. You got a notification by wa from the management. He said something was missing. Cool out. Recommended.,OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Yani W.,5.5,09-Feb-22,"For whatever reason, the hotel is scary, the electricity often goes out, the building is ancient, the signal is difficult, check in at 3 pm, check out at 9 pm because I don't dare to sleep, there are no tissues, soap, shampoo, toothbrush.",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Azis S.,9.1,03-Jan-22,"The place is spacious, the service is very friendly, the security is very tight, the prices for street vendors are really, very recommended",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Akbari S.,5.4,26-Dec-21,"The room doesn't match the photo of the basic dusty floor cupboard, it's really bad.",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Dedi S.,8.5,15-Dec-21,"A place to stay with a different atmosphere, thank you.",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Agnes E. L.,9.1,31-Oct-21,"Friendly service, spacious rooms, need anything to help, really good receptionist.",OYO 90479 The Ethnic Hotel Bandung (all Suites),HOTELS
Tantiana Y.,8.4,05-Dec-17,De Riau Cottage wasn't exactly as expected as the rooms are all separated from each other.,De Riau Cottage by HouseinBandung,RESORTS
luta n.,9.7,01-Jul-19,The owner is very friendly and understanding.,De Riau Cottage by HouseinBandung,RESORTS
fajar h.,6.2,11-Dec-17,Because access to the room is rather complicated open the closing of the actual gate for the safety factor also,De Riau Cottage by HouseinBandung,RESORTS
Doni Y.,9.1,22-Nov-17,"Clean and tidy, the owners are friendly. There is a shared kitchen",De Riau Cottage by HouseinBandung,RESORTS
Reyhan R.,9.1,06-Jan-22,"Located in Bandung major neighborhood, so location was great. The room was spacious, clean and pretty comfy. The staffs were helpful and friendly. A little downside: you should bring your own amenities, especially shampoo & conditioner. Overall it was a pleasant stay.",The Palais Dago Hotel,HOTELS
Ida N.,10,09-Dec-21,,The Palais Dago Hotel,HOTELS
Ikhwany I.,9.1,07-Nov-21,,The Palais Dago Hotel,HOTELS
Kiswanta,8.5,02-Nov-21,,The Palais Dago Hotel,HOTELS
Tianna H.,9.1,27-Oct-21,"So clean, good service and I love stay here. Going to be back!",The Palais Dago Hotel,HOTELS
Rafly,8.5,26-Oct-21,Clean and comfort all staff are friendly.,The Palais Dago Hotel,HOTELS
Aryoga,8.5,11-Aug-21,,The Palais Dago Hotel,HOTELS
Afina,9.7,15-Jun-21,"Very enjoy staying here. Nice service, very attentive to guests, and gorgeous place to take pictures with. Wonderful moments",The Palais Dago Hotel,HOTELS
Pebby A.,8.5,05-Jan-21,It is a strategic place in the center of Bandung. The accommodation is good and the service is great.,The Palais Dago Hotel,HOTELS
Ning B.,8.5,14-Nov-20,,The Palais Dago Hotel,HOTELS
Mochammad Z.,6.1,02-Apr-22,"Recepsionist staff is nice, housekeeping and engineering not so good. Parking space is so small. The room is equal with the money you spend.",Anggrek Shopping Hotel,HOTELS
Wiring R. C.,9.4,25-Jan-22,,Anggrek Shopping Hotel,HOTELS
Rizky R.,8.8,10-May-21,It was okay. Perfect location for shopping.,Anggrek Shopping Hotel,HOTELS
Andrie,9.3,04-Jan-21,"Good hotel, room space is ample for the price, conveniently located around shopping outlets. Breakfast could be better though",Anggrek Shopping Hotel,HOTELS
Sherly M.,10,05-Feb-20,perfecto... with low price we can get higher. recommended,Anggrek Shopping Hotel,HOTELS
Sherly M.,10,14-Dec-19,"more than just perfect for 3 stars hotel. great in hospitality, meals, room, hot water, excellent service. highly recommended! I will come again !",Anggrek Shopping Hotel,HOTELS
Romi H.,9.4,10-Dec-19,Wifi is not good & Breakfast is standard,Anggrek Shopping Hotel,HOTELS
Agnes L. S.,8.5,10-Nov-19,"Fit the price, nice location, clean room.",Anggrek Shopping Hotel,HOTELS
yoseptian,6.5,23-Oct-19,"for room no issues, but you maybe more put attention to breakfast. I mean for tasty and readiness the food. as long as I stayed, the food is cold and always empty. need long time for refuel-ling it again",Anggrek Shopping Hotel,HOTELS
Daniel E. Y.,9.1,06-Jul-19,"Excellent, comfort, nearby everywhere.",Anggrek Shopping Hotel,HOTELS
Shinta D. C.,6.3,31-Mar-22,Cockroach in the bathroom. Bathroom needs more clraning since it looks worn out and smelly. But room is okay.,The Summit Siliwangi Hotel,HOTELS
Suhartini A.,6.2,29-Dec-21,,The Summit Siliwangi Hotel,HOTELS
M Taufik D.,8.5,08-Dec-21,Recommended hotel in middle of the city.,The Summit Siliwangi Hotel,HOTELS
Partho D.,8.4,04-Dec-21,Not bad lah. For budget stay! Stay clean please.,The Summit Siliwangi Hotel,HOTELS
my name i. A.,9.7,14-Nov-21,To be frank I pick the most cheaper hotel because I am a budget friendly person at that time and then I found this hotel and just randomly pick this hotel and unexpectedly turns out this hotel is really good & comfortable. Like I would go to this hotel for the second time because it 's cheap and they have a great room service and I hope they will keep improving in their service and the room and everything but over all I will give it a 5. Thanks!,The Summit Siliwangi Hotel,HOTELS
Geordie K.,8.5,11-Nov-21,"Awesome staff, nice place, definitely gonna come back there, thanks.",The Summit Siliwangi Hotel,HOTELS
Imelda G.,5.5,24-Oct-21,Bed sheet smell bad. Dirty bathroom.,The Summit Siliwangi Hotel,HOTELS
Arifin,8.8,27-Sep-21,One of favorites accommodation when I'm in Bandung. Great location. Reasonable rate. Good services. Quite spacy room which meets the rate. Highly recommended.,The Summit Siliwangi Hotel,HOTELS
R B B. K.,8.5,18-Aug-21,"Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay are the staff. All of the people are incredibly helpful and generous with their time and advice. Thanks (B2K)",The Summit Siliwangi Hotel,HOTELS
amlbuton,8.8,11-Mar-21,its peaceful place to relax and secure,The Summit Siliwangi Hotel,HOTELS
Vera E. S.,9.1,06-Mar-22,Very nice and friendly staff.,Mitra Hotel Bandung,HOTELS
Cynthia Y.,9.4,07-Dec-21,The food was delicious. Room was clean and hotel have a great view at the top floor. I am very enjoyed it. Thank you.,Mitra Hotel Bandung,HOTELS
indh,9.7,13-Nov-21,,Mitra Hotel Bandung,HOTELS
Mila K.,8.5,08-Nov-21,,Mitra Hotel Bandung,HOTELS
Dian S. A.,9.7,08-Jun-21,,Mitra Hotel Bandung,HOTELS
Stephanny F.,8.5,05-Apr-21,,Mitra Hotel Bandung,HOTELS
Akbar A.,8.5,22-Feb-21,,Mitra Hotel Bandung,HOTELS
Hotma S.,8.5,09-Feb-21,,Mitra Hotel Bandung,HOTELS
TrySetyo H. F.,8.5,07-Feb-21,,Mitra Hotel Bandung,HOTELS
iman e. s.,9.7,20-Jan-21,,Mitra Hotel Bandung,HOTELS
Suri A. P.,8.5,21-Mar-22,Nice! An so affordable! The room is spacious ____.,Gandasari Hotel,HOTELS
M Taufik D.,8.5,09-Feb-22,"Location is city center, service is good, recommended when you in Bandung.",Gandasari Hotel,HOTELS
M Taufik D.,8.5,09-Feb-22,"Location in middle of city, nice place, service is OK.",Gandasari Hotel,HOTELS
M Taufik D.,8.5,09-Feb-22,"Location in middle of city, good place, service was OK.",Gandasari Hotel,HOTELS
Dayu T. P.,8.5,20-Jan-22,,Gandasari Hotel,HOTELS
henry e. h.,6.7,20-Dec-21,"worst experience. really not worthed the money. the staffs are friendly. it has nice public space. the good : the room are spacious. properly maintained the bad : very limited parking spot. but the valet is free. the key is manual one pillow per person. for a 600k room, disappointing. the ugly: the elevator is down. I ordered hotel with an elevator because of my handicap, yet this hotel force me to walk on stairs. :( because I arrived late at night, I have no choice but to continue. the staff is very helpful though. they help all the baggage to the room. the air conditioner are damp, so it smells the bedroom and bathroom is not clean enough for the price :( need much work to raise the standard. specially after two years pandemic",Gandasari Hotel,HOTELS
Yugi B. N.,9.7,02-Dec-21,,Gandasari Hotel,HOTELS
Qee,4.8,18-Nov-21,Worst experience of stay ever. You pay peanut you get monkey. Don't expect too much,Gandasari Hotel,HOTELS
Pranna P.,8.2,16-Oct-21,Water heater not working.,Gandasari Hotel,HOTELS
Shelly S.,8.5,10-Jul-21,"Standar hotel. Clean enough but No water heater, no curtain on the batrhroom, you need to ask to receptionist if you need towel. No toileters so you better brought it for yourself. But it worth the price.",Gandasari Hotel,HOTELS
Winda K. S.,6.2,11-Mar-22,It 's not that good. The shower in our room has less water. Seriously uncomfortable. I tried to call the operator 3 times but no answer. Not responsive. Never come to this hotel again.,Hotel Santika Bandung,HOTELS
Ismiranti A. H.,9.4,02-Mar-22,Having staycation here for 2 night and really enjoyed. We'll be back to stay! Thanks.,Hotel Santika Bandung,HOTELS
Anton C.,8.5,02-Mar-22,,Hotel Santika Bandung,HOTELS
Fitri R.,9.4,26-Dec-21,"Good service, meet expectation hotel for staycation, but the breakfast is not recommended.",Hotel Santika Bandung,HOTELS
Iin R. A.,9.7,26-Dec-21,,Hotel Santika Bandung,HOTELS
Romario R.,10,20-Dec-21,"It was great. The room was clean, the bed was comfortable, the staffs were very helpful. Strategic location. Nice breakfast. Will definitely book the room again in the future.",Hotel Santika Bandung,HOTELS
Andika S. N.,6.1,06-Nov-21,I'm very disappointed because of my ordered is deluxe queen but in fact I have got twin bed that modified like queen bed (1 bed) and there is not information to me before. I realized when I woke up in the morning. Breakfast has not variety,Hotel Santika Bandung,HOTELS
Rizza M.,6,13-Oct-21,Breakfast food was really bad most of them too salty and not fresh.,Hotel Santika Bandung,HOTELS
Koeswanto R.,5.7,28-Sep-21,"The room is hot, the food is poor.",Hotel Santika Bandung,HOTELS
Wenda R. P.,6.1,20-Sep-21,"Old hotel. Take too long for checking in, waste nearly 45 minute to get the room ready. Room was spacious but dirty.",Hotel Santika Bandung,HOTELS
Yohanes T. T.,10,14-Mar-22,,Courtyard by Marriott Bandung Dago,HOTELS
Yanto H.,9.7,08-Feb-22,"Room just renovated, breakfast is excellent.",Courtyard by Marriott Bandung Dago,HOTELS
mia o. r.,8.5,03-Feb-22,Thank you for the great hospitality.,Courtyard by Marriott Bandung Dago,HOTELS
Inez G.,8.5,17-Dec-21,,Courtyard by Marriott Bandung Dago,HOTELS
Stefanus J. T.,6.9,05-Dec-21,"The bed was so lousy. Too soft, sleeping like drowning in the water. Hotel room quite nice after renovation.",Courtyard by Marriott Bandung Dago,HOTELS
Putri R.,8.5,27-Nov-21,,Courtyard by Marriott Bandung Dago,HOTELS
Kevin L.,6.6,21-Nov-21,The parking lot is too small for 4star hotel and so narrow.,Courtyard by Marriott Bandung Dago,HOTELS
emmanuel j.,8.5,10-Nov-21,"Modern furniture, marriot standard same as other courtyard, full breakfast, really enjoy stay at couryard as a part of marriot company.",Courtyard by Marriott Bandung Dago,HOTELS
Gunawan S.,10,08-Nov-21,"The room is OK, breakfast awesome.",Courtyard by Marriott Bandung Dago,HOTELS
Dewi H. H.,5.6,22-Oct-21,"Hotel is old and not cheap. I order most expensive room available on app, but I got really bad room. I ask non smoking but the room has strong smell of smoke! The view was crappy! A telco tower! Overall, I would not come back and would not recommend.",Courtyard by Marriott Bandung Dago,HOTELS
Inge N.,8.9,14-Mar-22,"I heard great reviews from my friend about this hotel. But to be honest, it doesn't live up to the expectations. The place has pretty cool exterior & interior, the location is right in the middle of the city, great environment, the lobby and restaurant area was great. Tried their buffet breakfast and it was pretty good. Their services is also good. What annoyed me a bit was their facilities. I asked for a smoking room, but there was no ashtray inside the room. Their TV program and wifi also disappointing, wifi was slow, troubled TV channels. The room was not as clean. Also, we have to ask for the slippers. Other than that it was okay. They have a lot of potential, I hope they could improve where they were lacking. Thank you Namin.",Namin Dago Hotel,HOTELS
Jodie L.,6.3,31-Jan-22,"It used to be a good hotel, but now the building seems not in a good shape, the wall are faded, the shower was broken, maybe need some maintenance to give a good and pleasant stay.",Namin Dago Hotel,HOTELS
wahyudi g.,10,25-Jan-22,,Namin Dago Hotel,HOTELS
yunitarahmawati,8.8,12-Dec-21,,Namin Dago Hotel,HOTELS
Ollies R.,8.8,03-Nov-21,"We stayed here for 2 days with a big room and my kids so happy for that. My feedback please improve the cleanliness of the sofa and bed linen, overall happy to stayed here. Thank you.",Namin Dago Hotel,HOTELS
